rgb_image,output,flag,username,timestamp
"{""path"":""flagged\\rgb_image\\5a6ed0de26c6f086faba\\images.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\falca\\AppData\\Local\\Temp\\gradio\\e7a5bd5c067a6018fde20acdf9701f9b226d77c9\\images.jpg"",""size"":13126,""orig_name"":""images.jpg"",""mime_type"":""""}","{""path"":""flagged\\output\\927e400c30a048d9c5ea\\image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",,,2024-01-24 20:03:23.910049
"{""path"":""flagged\\rgb_image\\340e02249c12104f8cd6\\images.jpg"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\falca\\AppData\\Local\\Temp\\gradio\\e7a5bd5c067a6018fde20acdf9701f9b226d77c9\\images.jpg"",""size"":13126,""orig_name"":""images.jpg"",""mime_type"":""""}","{""path"":""flagged\\output\\48613590ee603e964904\\image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",,,2024-01-24 20:03:25.730038
